"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähkönkulutus Suomessa"
"2018-06-09 08:00:00","2018-06-09 09:00:00","2018-06-09 10:00:00","2018-06-09 11:00:00","8160.0"
"2018-06-09 09:00:00","2018-06-09 10:00:00","2018-06-09 11:00:00","2018-06-09 12:00:00","8168.0"
"2018-06-09 10:00:00","2018-06-09 11:00:00","2018-06-09 12:00:00","2018-06-09 13:00:00","8102.0"
"2018-06-09 11:00:00","2018-06-09 12:00:00","2018-06-09 13:00:00","2018-06-09 14:00:00","8098.0"
"2018-06-09 12:00:00","2018-06-09 13:00:00","2018-06-09 14:00:00","2018-06-09 15:00:00","8168.0"
"2018-06-09 13:00:00","2018-06-09 14:00:00","2018-06-09 15:00:00","2018-06-09 16:00:00","8252.0"
"2018-06-09 14:00:00","2018-06-09 15:00:00","2018-06-09 16:00:00","2018-06-09 17:00:00","8312.0"
"2018-06-09 15:00:00","2018-06-09 16:00:00","2018-06-09 17:00:00","2018-06-09 18:00:00","8362.0"
"2018-06-09 16:00:00","2018-06-09 17:00:00","2018-06-09 18:00:00","2018-06-09 19:00:00","8426.0"
"2018-06-09 17:00:00","2018-06-09 18:00:00","2018-06-09 19:00:00","2018-06-09 20:00:00","8343.0"
"2018-06-09 18:00:00","2018-06-09 19:00:00","2018-06-09 20:00:00","2018-06-09 21:00:00","8094.0"
"2018-06-09 19:00:00","2018-06-09 20:00:00","2018-06-09 21:00:00","2018-06-09 22:00:00","8206.0"
"2018-06-09 20:00:00","2018-06-09 21:00:00","2018-06-09 22:00:00","2018-06-09 23:00:00","8176.0"
"2018-06-09 21:00:00","2018-06-09 22:00:00","2018-06-09 23:00:00","2018-06-10 00:00:00","7877.0"
"2018-06-09 22:00:00","2018-06-09 23:00:00","2018-06-10 00:00:00","2018-06-10 01:00:00","7585.0"
"2018-06-09 23:00:00","2018-06-10 00:00:00","2018-06-10 01:00:00","2018-06-10 02:00:00","7391.0"
"2018-06-10 00:00:00","2018-06-10 01:00:00","2018-06-10 02:00:00","2018-06-10 03:00:00","7228.0"
"2018-06-10 01:00:00","2018-06-10 02:00:00","2018-06-10 03:00:00","2018-06-10 04:00:00","7203.0"
"2018-06-10 02:00:00","2018-06-10 03:00:00","2018-06-10 04:00:00","2018-06-10 05:00:00","7180.0"
"2018-06-10 03:00:00","2018-06-10 04:00:00","2018-06-10 05:00:00","2018-06-10 06:00:00","7192.0"
"2018-06-10 04:00:00","2018-06-10 05:00:00","2018-06-10 06:00:00","2018-06-10 07:00:00","7238.0"
"2018-06-10 05:00:00","2018-06-10 06:00:00","2018-06-10 07:00:00","2018-06-10 08:00:00","7406.0"
"2018-06-10 06:00:00","2018-06-10 07:00:00","2018-06-10 08:00:00","2018-06-10 09:00:00","7597.0"
"2018-06-10 07:00:00","2018-06-10 08:00:00","2018-06-10 09:00:00","2018-06-10 10:00:00","7737.0"
"2018-06-10 08:00:00","2018-06-10 09:00:00","2018-06-10 10:00:00","2018-06-10 11:00:00","7848.0"
"2018-06-10 09:00:00","2018-06-10 10:00:00","2018-06-10 11:00:00","2018-06-10 12:00:00","7848.0"
"2018-06-10 10:00:00","2018-06-10 11:00:00","2018-06-10 12:00:00","2018-06-10 13:00:00","7842.0"
"2018-06-10 11:00:00","2018-06-10 12:00:00","2018-06-10 13:00:00","2018-06-10 14:00:00","7840.0"
"2018-06-10 12:00:00","2018-06-10 13:00:00","2018-06-10 14:00:00","2018-06-10 15:00:00","7815.0"
"2018-06-10 13:00:00","2018-06-10 14:00:00","2018-06-10 15:00:00","2018-06-10 16:00:00","7873.0"
"2018-06-10 14:00:00","2018-06-10 15:00:00","2018-06-10 16:00:00","2018-06-10 17:00:00","7999.0"
